date,strategy_return,base_return,btc_return,equity,executed_regime,executed_position,base_strength_lb,baseline_is_weak,candidate_close,candidate_return,cand_fast_ma,cand_slow_ma,cand_risk_ma,cand_ret_lb,cand_vol,candidate_trend_ok,candidate_risk_off,candidate_signal_raw,candidate_signal,candidate_execute
2018-05-04,0.0,0.0,-0.0036933333333333,1.0,CASH,CASH,,False,0.358,0.0,,,,,,False,False,False,False,False
2018-05-05,0.0,0.0,0.0154426759755774,1.0,BASE,0.0,,False,0.36502,0.01960893854748602,,,,,,False,False,False,False,False
2018-05-06,0.0,0.0,-0.0207816301703163,1.0,BASE,0.0,,False,0.34654,-0.050627362884225535,,,,,,False,False,False,False,False
2018-05-07,0.0,0.0,-0.0304389373238044,1.0,BASE,0.0,,False,0.33046,-0.04640156980435173,,,,,,False,False,False,False,False
2018-05-08,0.0,0.0,-0.0189471436198612,1.0,BASE,0.0,,False,0.32213,-0.025207286812322094,,,,,,False,False,False,False,False
2018-05-09,0.0,0.0,0.0133267156894758,1.0,BASE,0.0,,False,0.31884,-0.010213267935305637,,,,,,False,False,False,False,False
2018-05-10,0.0,0.0,-0.0330612244897958,1.0,BASE,0.0,,False,0.29121,-0.0866578848325178,,,,,,False,False,False,False,False
2018-05-11,0.0,0.0,-0.0668947590588967,1.0,BASE,0.0,,False,0.25573,-0.12183647539576259,,,,,,False,False,False,False,False
2018-05-12,0.0,0.0,0.0078500000000001,1.0,BASE,0.0,,False,0.2655,0.03820435615688411,,,,,,False,False,False,False,False
2018-05-13,0.0,0.0,0.0252505923736761,1.0,BASE,0.0,,False,0.27718,0.043992467043314276,,,,,,False,False,False,False,False
2018-05-14,0.0,0.0,-0.0018860077122391,1.0,BASE,0.0,,False,0.26655,-0.03835053034129432,,,,,,False,False,False,False,False
2018-05-15,0.0,0.0,-0.0232404592224245,1.0,BASE,0.0,,False,0.25394,-0.047308197336334734,,,,,,False,False,False,False,False
2018-05-16,0.0,0.0,-0.0155991491373197,1.0,BASE,0.0,,False,0.25237,-0.006182562810112646,,,,,,False,False,False,False,False
2018-05-17,0.0,0.0,-0.0346386554621849,1.0,BASE,0.0,,False,0.23919,-0.05222490787336043,,,,,,False,False,False,False,False
2018-05-18,0.0,0.0,0.0246659188754281,1.0,BASE,0.0,,False,0.24324,0.01693214599272541,,,,,,False,False,False,False,False
2018-05-19,0.0,0.0,-0.0007670079771256,1.0,BASE,0.0,,False,0.24116,-0.008551225127446105,,,,,,False,False,False,False,False
2018-05-20,0.0,0.0,0.0356458804225181,1.0,BASE,0.0,,False,0.25556,0.05971139492453137,,,,,,False,False,False,False,False
2018-05-21,0.0,0.0,-0.017091631503768,1.0,BASE,0.0,,False,0.24563,-0.03885584598528735,,,,,,False,False,False,False,False
2018-05-22,0.0,0.0,-0.0482184020502932,1.0,BASE,0.0,,False,0.22,-0.1043439319301388,,,,,,False,False,False,False,False
2018-05-23,0.0,0.0,-0.0595654315911401,1.0,BASE,0.0,,False,0.1978,-0.10090909090909095,0.2773025,,,,,False,False,False,False,False
2018-05-24,0.0,0.0,0.0097388012450096,1.0,BASE,0.0,,False,0.2073,0.048028311425682535,0.26976750000000005,,,,,False,False,False,False,False
2018-05-25,0.0,0.0,-0.0155788573216405,1.0,BASE,0.0,,False,0.19788,-0.04544138929088282,0.2614105,,,,,False,False,False,False,False
2018-05-26,0.0,0.0,-0.016499932948907,1.0,BASE,0.0,,False,0.19504,-0.014352132605619627,0.2538355,,,,,False,False,False,False,False
2018-05-27,0.0,0.0,0.0006858504818678,1.0,BASE,0.0,,False,0.19186,-0.016304347826086918,0.24690550000000006,,,,,False,False,False,False,False
2018-05-28,0.0,0.0,-0.0327006849716378,1.0,BASE,0.0,,False,0.17249,-0.10095903262795791,0.2394235,,,,,False,False,False,False,False
2018-05-29,0.0,0.0,0.0510339484434427,1.0,BASE,0.0,,False,0.20164,0.1689953040755987,0.23356349999999998,,,,,False,False,False,False,False
2018-05-30,0.0,0.0,-0.0114363602004479,1.0,BASE,0.0,,False,0.20779,0.03049990081333065,0.22939249999999997,,,,,False,False,False,False,False
2018-05-31,0.0,0.0,0.0147845161850119,1.0,BASE,0.0,,False,0.2233,0.0746426680783483,0.227771,,,,,False,False,False,False,False
2018-06-01,0.0,0.0,0.0048096128128085,1.0,BASE,0.0,,False,0.22038,-0.013076578593820054,0.225515,,,,,False,False,False,False,False
2018-06-02,0.0,0.0,0.0158250022270944,1.0,BASE,0.0,0.0,True,0.22648,0.027679462746165617,0.22298,,,,0.0606309074538317,False,True,False,False,False
2018-06-03,0.0,0.0,0.0097159304348282,1.0,BASE,0.0,0.0,True,0.22659,0.00048569410102450306,0.22098199999999996,,,-0.36706703910614513,0.060634525953832306,False,True,False,False,False
2018-06-04,0.0,0.0,-0.0294597278287224,1.0,BASE,0.0,0.0,True,0.21243,-0.06249172514232759,0.21890649999999998,,,-0.41803188866363483,0.06093942073559683,False,True,False,False,False
2018-06-05,0.0,0.0,0.0184319487110993,1.0,BASE,0.0,0.0,True,0.21839,0.0280563008991197,0.2172075,,,-0.3697985802504762,0.06108731916670865,False,True,False,False,False
2018-06-06,0.0,0.0,0.0044380327868853,1.0,BASE,0.0,0.0,True,0.21452,-0.017720591602179647,0.21597399999999997,,,-0.350844277673546,0.06078727994838957,False,True,False,False,False
2018-06-07,0.0,0.0,0.0042095147568039,1.0,BASE,0.0,0.0,True,0.21019,-0.020184598172664603,0.21432149999999997,,,-0.3474994567410674,0.060758846697164796,False,True,False,False,False
2018-06-08,0.0,0.0,-0.0113950186449758,1.0,BASE,0.0,0.0,True,0.2043,-0.028022265569246807,0.21247850000000001,,,-0.3592397440722619,0.06082261087238093,False,True,False,False,False
2018-06-09,0.0,0.0,-0.0146920341319192,1.0,BASE,0.0,0.0,True,0.2011,-0.015663240332843942,0.20975549999999998,,,-0.3094330551835446,0.05926745866252809,False,True,False,False,False
2018-06-10,0.0,0.0,-0.097005631543048,1.0,BASE,0.0,0.0,True,0.17346,-0.13744405768274492,0.206147,,,-0.3217064873108356,0.06030180756308263,False,True,False,False,False
2018-06-11,0.0,0.0,0.015818205200599,1.0,BASE,0.0,0.0,True,0.17897,0.031765248472270136,0.20409549999999999,,,-0.3259133709981168,0.060137386707042925,False,True,False,False,False
2018-06-12,0.0,0.0,-0.04976717112922,1.0,BASE,0.0,0.0,True,0.16297,-0.0894004581773481,0.202354,,,-0.4120427159246698,0.06081582419672544,False,True,False,False,False
